dex_num,slug,pokemon,ingame_name,category,height_ft,height_in,weight_lb,dex_entry,char_count
1,bulbasaur,Bulbasaur,FROG,FAIRY,6,2,280,FROG sits in shallow water for hours. It is not meditating. It is avoiding plans.,81
2,ivysaur,Ivysaur,PRINCE,FAIRY,6,2,280,"PRINCE expects doors to open for it. Many do, eventually, from the other side.",78
3,venusaur,Venusaur,KING,FAIRY,6,2,280,Several KING have ruled for decades. Few are remembered fondly.,63
4,charmander,Charmander,NEWT,DRAGON,6,2,280,NEWT can replace a lost tail. It cannot explain where the old ones keep going.,78
5,charmeleon,Charmeleon,DRAKE,DRAGON,6,2,280,DRAKE marks territory with smoke and attitude. Both linger longer than needed.,78
6,charizard,Charizard,DRAGON,DRAGON,6,2,280,DRAGON understands most human speech. This has not improved its opinion of people.,82
7,squirtle,Squirtle,PIRATE,SEA,6,2,280,Most PIRATE retire with less treasure than they started with.,61
8,wartortle,Wartortle,FIRSTMATE,SEA,6,2,280,FIRSTMATE keeps the ship running and the captain alive. Neither seems grateful.,79
9,blastoise,Blastoise,CAPTAIN,SEA,6,2,280,"CAPTAIN is obeyed at sea. On land, the effect drops sharply.",60
10,caterpie,Caterpie,INCHWORM,MORPHING,6,2,280,INCHWORM measures every path before moving. It still ends up somewhere disappointing.,85
11,metapod,Metapod,PUPA,MORPHING,6,2,280,PUPA remains still for weeks. Things tend to improve when it is not involved.,77
12,butterfree,Butterfree,BUTTERFLY,MORPHING,6,2,280,BUTTERFLY appears delicate. Its dust has ended several outdoor weddings.,72
13,weedle,Weedle,NEEDLE,HIVE,6,2,280,NEEDLE is small enough to miss and painful enough to remember.,62
14,kakuna,Kakuna,COCOON,HIVE,6,2,280,COCOON hangs in plain sight. Predators often decide today is not worth it.,74
15,beedrill,Beedrill,DRILL,HIVE,6,2,280,DRILL solves obstacles by going through them. The bill usually finds someone else.,82
16,pidgey,Pidgey,CHICK,SKY,6,2,280,CHICK survives by looking harmless. This remains its most developed skill.,74
17,pidgeotto,Pidgeotto,BUCKBUCK,SKY,6,2,280,BUCKBUCK guards its nest loudly. The eggs seem embarrassed.,59
