dex_num,slug,pokemon,ingame_name,height_ft,height_in,weight_lb,dex_entry,char_count
1,bulbasaur,Bulbasaur,TOEPFER,6,2,280,"Fresh from onboarding, TOEPFER keeps desk ferns alive and morale wilting. HR calls it growth.",93
2,ivysaur,Ivysaur,TOEPFERJR,6,2,280,TOEPFERJR schedules fertilizer like quarterly reviews. Every leaf gets a performance plan.,90
3,venusaur,Venusaur,TOEPFERSR,6,2,280,TOEPFERSR photosynthesizes profits from the corner office. Sunlight is a taxable benefit.,89
4,charmander,Charmander,LILTOEPF,6,2,280,LILTOEPF dials until the headset melts daily. Voicemail is just a warm lead waiting.,84
5,charmeleon,Charmeleon,BIGTOEPF,6,2,280,BIGTOEPF turns maybe into signed contracts before coffee cools. The pen never rests.,84
6,charizard,Charizard,MEGATOEPF,6,2,280,MEGATOEPF closes deals hot enough to void the NDA. Legal keeps a fire extinguisher.,83
7,squirtle,Squirtle,DRTOEPFER,6,2,280,DRTOEPFER resets passwords and dampens panic. Have you tried turning it off and on?,83
8,wartortle,Wartortle,SIRTOEPF,6,2,280,SIRTOEPF guards the server room like a prized shell collection. Root needs three approvals.,91
9,blastoise,Blastoise,LORDTOEPF,6,2,280,LORDTOEPF cannons through legacy systems at budget reviews. Uptime is nonnegotiable policy.,91
10,caterpie,Caterpie,KINGTOEPF,6,2,280,KINGTOEPF files paperwork faster than anyone can shred it. The inbox never stops inching.,89
11,metapod,Metapod,QUEENTOEPF,6,2,280,"QUEENTOEPF cocoons in meetings until promoted. Hard shell outside, soft deadlines within.",89
12,butterfree,Butterfree,PRINCEOEPF,6,2,280,PRINCEOEPF floats above org charts spreading memos. Every department gets a gentle directive.,93
13,weedle,Weedle,CYBEROEPF,6,2,280,"CYBEROEPF needles through footnotes at two AM. Discovery never sleeps, and neither does he.",91
14,kakuna,Kakuna,ROBOTOEPF,6,2,280,"ROBOTOEPF stays rigid until the partner says go. Motion filed, body still not moving.",85
